"Defect ID","Title","Surface / Module","Linked Test Case","Severity","Priority","Environment","Steps to Reproduce","Expected","Actual","Reproducibility","Reported By","Date","Assigned To","Status","Root Cause / Fix","Retest Result"
"DEF-011","No ProSiddhi logo / no way back to the home page","Web / Global","(no coverage - add a case)","S3","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open any inner screen 2) Look for a product logo or a home control","A ProSiddhi logo is present and returns the user to the home page","The mark shown is Azkashine, not ProSiddhi; on the register and login modals the only way out is an X","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Fixed 2026-08-13 - awaiting retest","Same root cause as DEF-010. Was blocked on a brand asset; supplied 2026-08-06. DECIDE BEFORE IMPLEMENTING: three spellings are in circulation - the logo artwork reads 'Prosiddhi', the app and docs use 'ProSiddhi', the QA document title uses 'ProSidhdhi'. One must be chosen before it is baked into assets, copy and i18n.  >> FIXED in c2ed0a1 - ProSiddhi logo in the header, linking home; favicons and the page title too.","Pending"
"DEF-012","Footer 'For Employers' links open Login focused on the Job Seeker tab","Web / Auth","WEB-EMP-REG-001","S3","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) While logged out, click Post a Job / Find Workers / Pricing in the footer","Login opens with the Employer tab selected","Login opens on the Job Seeker tab, so an employer signs in on the wrong role tab","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Fixed 2026-08-06 - awaiting retest","CONFIRMED: those three footer links point at protected employer routes, which redirect to /login; no role hint survives the redirect and the page defaults to the seeker tab. Fix: carry a role hint through the redirect - it must still pass through lib/safeRedirect.ts (an open redirect was already fixed on this path).  >> FIXED in 28c2174, then really fixed in a95d05e. The first attempt still failed: /login reads useSearchParams, which is EMPTY during the server render, so the lazy useState initializer captured a null returnUrl and locked the tab to seeker. Confirmed against the served markup. The role is now set from an effect once the destination is known. Footer.tsx deliberately unchanged - inferring from the validated returnUrl fixes EVERY employer deep link, not just the three footer ones.","Pending"
"DEF-013","Register from the home page should first ask job seeker or employer","Web / Auth","WEB-EMP-REG-001","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Click Register on the home page 2) Observe the first screen","The first screen offers the choice of job seeker or employer with an explanation","It goes straight into the seeker flow","Always","QA - test execution 04-Aug-2026","2026-08-04","Nazir","Fixed 2026-08-06 - awaiting retest","DUPLICATE ROOT CAUSE of DEF-005; logged separately to stay 1:1 with the QA document. One fix closes both.  >> FIXED by the same change as DEF-005 (f1b9a76).","Pending"
"DEF-014","Seeker landing search discards the typed keyword","Web / Seeker Landing","WEB-SEEK-FEED-003","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","1) Open /employee 2) Type a job title into the search box 3) Click Search Jobs","The job feed opens filtered by the typed keyword","The feed opens unfiltered - the keyword is silently dropped","Always","Nazir / code audit 06-Aug-2026","2026-08-06","Nazir","Fixed 2026-08-18 - awaiting retest","FOUND DURING TRIAGE of DEF-004, not reported by QA. src/app/employee/page.tsx:136 is a plain Link to /job-feed; searchQuery is bound to state and never passed. Together with DEF-004 the entire landing-page search bar is non-functional. Fix: navigate to /job-feed?search=...&location=...  >> FIXED in 89c0e90, same change as DEF-004 - one control, one fix.","Pending"
"DEF-015","Registration collects date of birth and gender but never sends them - no minimum age is enforced anywhere","Web / Auth","WEB-SEEK-AUTH-001","S1","P1","Portal + BE 09a88fc","1) Register as a seeker 2) Enter a date of birth under 18 3) Complete registration","Registration is refused - the product requires 18+","The account is created. The BE age >= 18 check never ran because dateOfBirth and gender were never in the register payload","Always","Nazir / code audit 06-Aug-2026","2026-08-06","Nazir","Fixed 2026-08-06 - awaiting retest","FIXED in 206b065. api.ts omitted both fields and carried a stale comment claiming the BE had no field for them; it has accepted both since BR-3, and dateOfBirthSchema is where the age rule lives. Verified live: born 2010-01-01 -> 400 {path: dateOfBirth}; born 2000-05-15 -> 201 with both persisted; gender 'male' -> 400. Age is now also checked on the PROFILE step, because the server rejection otherwise lands on the password screen six steps later with no date field on it. NOTE: mobile always sent both - this was portal-only.",""
"DEF-016","/api/otp/send reveals whether a phone number is already registered","Backend / Auth","WEB-SEEK-AUTH-008","S3","P2","BE 09a88fc","1) POST /api/otp/send with a registered number 2) Repeat with an unregistered one 3) Compare","Responses do not disclose whether an account exists","A registered number returns 400 'This phone number is already registered'; an unregistered one succeeds - a phone-enumeration oracle","Always","Nazir / live pass 06-Aug-2026","2026-08-06","Asrar","Open - DECISION required, not a defect fix","Pre-existing BE behaviour, not introduced by the auth rework. It is also exactly what makes the error actionable: a returning user is told to sign in instead of being sent to re-verify a phone that already has an account. Keeping it trades a privacy leak for usability; closing it means a generic message and a worse dead end. Asrar's call - BE change either way.",""
"DEF-017","Wrong error message when employer credentials are used on the Job Seeker login","Web / Auth","","S3","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","On /login with the Job Seeker tab selected, enter a registered EMPLOYER email + password","A message saying this is an employer account and to switch tabs","QA reports the message is misleading","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Open - needs live verification","[QA doc item 14] NOT decided from code. In production the BE sends no machine-readable code on these responses, only status + message, so the portal matches on a known message set (see STATUS bug #18). A role mismatch most likely falls through to the generic fallback. Verify live, then add an explicit role-mismatch branch.",""
"DEF-018","Duplicate GST number / registration number accepted at employer registration","Web / Auth + BE","","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Register a business employer using a GST + registration number that already exists on another account","Rejected as already registered","A second account is created","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Open - needs BE verification","[QA doc item 15] NOT decided from code, and this is a BE uniqueness question rather than a portal one. Check whether Employer.gstNumber / registrationNumber carry unique constraints in prisma/schema.prisma. If they do not, it is a BE ticket for Asrar - the portal cannot enforce this safely on its own.",""
"DEF-019","Password standards not enforced","Web / Auth","","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Register and set a weak password (e.g. abc)","Rejected with the strength rule","QA reports weak passwords were accepted","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Very likely FIXED 2026-08-06 - retest to close","[QA doc item 16] QA tested on 04-Aug, BEFORE the auth rework. The portal now enforces min 8 + upper + lower + digit at src/app/register/password/page.tsx:15 (PASSWORD_RULE), mirroring the BE passwordRule.",""
"DEF-020","Wrong page after a successful registration - lands back on a Registration page","Web / Auth","","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Complete registration end to end","Land logged-in on the role dashboard","Redirected to a new Registration page","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Very likely FIXED 2026-08-06 - retest to close","[QA doc item 17] QA tested BEFORE the auth rework, which rebuilt the whole register flow and its redirects - /register/password now creates the account and logs straight in.",""
"DEF-021","Employer has no notifications - the bell is never rendered on any employer screen","Web / Employer","","S2","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Log in as an employer and look for notifications anywhere in the app","A notification bell, as the seeker has","No bell exists on any employer page","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Fixed 2026-08-13 - awaiting retest","FIXED. All 12 employer pages now render <HeaderActions /> instead of a bare <UserDropdown />, which brings the NotificationBell the seeker already had. The component existed and was complete - employers simply had no entry point.",""
"DEF-022","Employer cannot reach Messages - chat is unreachable for employers","Web / Employer","","S1","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Log in as an employer and try to open a conversation with an applicant","A Messages entry point in the employer nav","Employer nav has Candidates, Jobs, Team and Workers only - no Messages link anywhere","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Fixed 2026-08-13 - awaiting retest","FIXED by the same one-line swap as DEF-021: HeaderActions carries the Mail link to /messages. Employer chat was fully built and reachable only by typing the URL.",""
"DEF-023","Employer cannot view their own posted job - the View link is blocked by the seeker role guard","Web / Employer","","S1","P1","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Log in as an employer, go to My Jobs, click View on any job","The job detail opens","The role guard bounces the employer away","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Fixed - awaiting retest","[QA doc item 20] CONFIRMED, and the cause is worse than no detail view existing. employer/jobs/page.tsx:226 links to /job-details/<id>, but that page is wrapped in ProtectedRoute requiredRole=seeker (job-details/[id]/page.tsx:401). The link is broken for the ONLY role it is shown to. Fix = admit employers to that route, or give the employer a read-only job view.  >> Verified fixed 2026-08-18: the requiredRole=""seeker"" guard is gone from job-details, and isSeeker now gates the Apply/Save controls so an employer sees the job without seeker-only actions.","Pending"
"DEF-024","No required-field indicators on the job posting form","Web / Employer","","S3","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Open Post a Job and submit with fields empty","Required fields marked, and flagged inline on submit","No red required indicator","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Open - needs live verification","[QA doc item 21] NOT fully decided from code. Overlaps STATUS item 3d: the same form still collects duration, an Expires On date and two contact toggles that the BE has DELETED. Do both in one pass.",""
"DEF-025","After logging in as a different user, the previous user's page is shown instead of the new dashboard","Web / Auth","","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Log in as employer A, navigate somewhere, log out, log in as employer B","Land on B's dashboard","A's last page is rendered","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Fixed 2026-08-18 - awaiting retest","[QA doc item 22] NOT decided from code. AuthContext persists { token, user } to localStorage and the login flow honours a returnUrl; a stale returnUrl or un-cleared route state is the likely cause. Same family as DEF-035. Verify live, then clear returnUrl and any persisted route on logout.  >> FIXED in ed64e48. NOT a data leak: storage and React state were always cleared correctly, nothing else reads auth_user, and there are no module-level caches. What survived was Next 14's App Router client cache, which holds the RSC payload of every visited route and is NOT invalidated by router.push(). router.refresh() now runs on any change of signed-in identity. Identified by elimination, not a watched repro (no browser available) - QA should re-test the switch-user path.","Pending"
"DEF-026","Employer profile does not show the full employer details","Web / Employer","","S3","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Open the employer profile","All business details render","Business fields were missing","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","FIXED - awaiting retest","[QA doc item 23] Fixed by f347e99 fix(profile): render business fields on the employer profile page - a one-line change; the values now survive a re-fetch.",""
"DEF-027","Add a left-hand navigation menu instead of hunting for menu options","Web / UX","","S4","P4","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","General navigation","-","-","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Not a defect - UX enhancement, route to product","[QA doc item 24] QA cites RABHAN as the reference. This is a navigation redesign, not a bug - Shaik's call. Do NOT fold into a defect-fix pass. Note that DEF-021 and DEF-022 fix the real navigation GAPS.",""
"DEF-028","Large empty margins on the left and right of the page","Web / UX","","S4","P4","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Any wide screen","-","-","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Not a defect - UX preference, route to product","[QA doc item 25] The layout uses max-w-[1920px] with fixed side padding - a deliberate design choice. Changing it is a design decision, not a fix.",""
"DEF-029","Split the registration name into First Name and Last Name","Web / Auth","","S4","P4","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Registration","-","-","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Not a defect - enhancement with a real BE cost","[QA doc item 26] The BE stores a single fullName. Splitting it changes the schema, the API and every display site across portal, mobile and admin. Route to product; do not treat as a defect.",""
"DEF-030","The name field accepts numbers - you can register with a name of 1234","Web / Auth","","S3","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Register a seeker with fullName 1234","Rejected as not a name","Registers successfully","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Fixed 2026-08-18 - awaiting retest","[QA doc item 27] CONFIRMED. src/app/register/profile/page.tsx:75 validates only !fullName.trim() || trim().length < 2 - there is no character-class check, so any digits pass. Add a name pattern client-side AND ask Asrar to mirror it on the BE, since client-only validation is bypassable.  >> FIXED b9cebba. One shared validator (lib/nameValidation.ts) now guards all FOUR sites that set a name - seeker registration, individual-employer registration, and BOTH profile editors (the edit paths were unguarded, so the rule was one edit away from being undone). Unicode-aware and allows combining marks: /^[A-Za-z ]+$/ would have rejected every Hindi, Tamil, Kannada, Malayalam, Marathi, Gujarati, Odia, Telugu and Bengali name. Verified against all 10 scripts. TWO FOLLOW-UPS: (1) BE MIRROR still needed - this is client-side only and bypassable via the API, raise with Asrar; (2) COPY - reuses the existing errorName string, which still reads ""at least 2 characters"" and does not describe the digit case; a new key would have cost a 10-language translation for an S3 fix.",""
"DEF-031","Work Experience step is only partially visible during registration","Web / Auth","","S3","P3","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Reach the Work Experience step of registration","The whole step fits the viewport","Partially visible / cut off","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Open - needs live verification","[QA doc item 28] Layout/viewport issue, same family as DEF-006 (landing page does not fit the window). Fold into one landing/layout pass.",""
"DEF-032","Cannot edit email, phone or account type - Settings' Edit Profile just opens the Profile page","Web / Settings","","S3","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Settings > Edit Profile, try to change email / phone / account type","Editable, with verification where needed","Redirects to Profile, where these are not editable","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Open - PARTLY valid; product decision needed","[QA doc item 29] CONFIRMED that settings/page.tsx:160 links to /employer/profile or /profile and those fields are not editable there. But the BE DOES support it - change-email and change-phone endpoints exist and are OTP-verified - so the capability is built and the UI does not expose it. Account TYPE should probably stay immutable since it is the authz role. Decide scope, then build the two verified-change flows.",""
"DEF-033","Shortlisted never works - the tab filters for a status nothing in the product can set","Web / Employer","","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","As an employer, open Candidates and use the Shortlisted tab","Shortlisted candidates listed","Always empty, and there is no way to shortlist anyone","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Fixed 2026-08-18 - awaiting retest","[QA doc item 30] CONFIRMED - the feature was never built. employer/candidates/page.tsx:27 defines a filter tab for status SHORTLISTED, but the ONLY status actions in the employer UI are Accept, Reject and toggleBookmark (candidates/[applicationId]/page.tsx). Nothing ever writes SHORTLISTED, so the tab is permanently empty. Fix = add a Shortlist action (confirm the BE accepts the status) or remove the tab. Do not ship a filter for an unreachable state.  >> FIXED in 57f8c74. The BE was never the gap - SHORTLISTED is in the Prisma enum and the route validator, and PUT /applications/:id/status always accepted it. Only the button was missing. Not offered from ACCEPTED/REJECTED (decision already made), WITHDRAWN (would erase the seeker's withdrawal) or BOOKMARKED (would destroy the bookmark irrecoverably - toggleBookmark cannot restore it from SHORTLISTED). All 10 languages.","Pending"
"DEF-034","Remove the vertical scrollbar on the employer Candidates page","Web / Employer","","S4","P4","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","Open Candidates as an employer","-","An inner vertical scrollbar appears","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Not a defect - UX polish","[QA doc item 31] Cosmetic. Fold into a styling pass if one happens; not worth its own ticket.",""
"DEF-035","Jobs are not filtered by location - Near By returns the same as All Jobs","Web / Seeker","","S2","P2","Portal http://103.225.224.149:3000 (HTTP); BE :5000 dev-mode","On the job feed, compare the Near By tab against All Jobs","Near By is geographically filtered","Same results","Always","QA - test execution 04-Aug-2026 (items 14-32; added to the doc AFTER the first triage)","2026-08-04","Nazir","Open - root cause traced, needs client-side location capture","[QA doc item 32] NOT decided from code; the wiring looks correct. job-feed/page.tsx has a nearby tab that passes latitude/longitude (lines 162-174), so the failure is either browser geolocation being denied - PRIME SUSPECT: geolocation is a secure-context API and the test origin 103.225.224.149:3000 is plain HTTP, so the browser blocks it outright - or the BE not filtering on the coords. Retest on HTTPS or localhost BEFORE changing any code.  >> ROOT CAUSE TRACED 2026-08-18, and it is not what this row previously guessed. Geolocation permission over HTTP was the prime suspect and it is WRONG: the app never asks for geolocation at all. NOTHING POPULATES COORDINATES ANYWHERE. The portal's post-job form has no lat/long fields (CreateJobData carries none, though the BE validator accepts them); the portal never sets a seeker's coordinates; the mobile app has no location package in pubspec.yaml (no geolocator, no permission_handler) and no screen fills the latitude param its profile service exposes. Consequences: getNearbyForSeeker returns empty with noLocation:true for EVERY seeker; the location component of the recommendation score (up to 20 pts, Haversine + exponential decay past 10km) contributes 0 to EVERY job because the branch needs all four coordinates; and the portal's city dropdown filters on coordinates no job has. The whole geo subsystem is built correctly on the BE and fed by nothing. Fix is client-side data capture (geolocation permission on mobile, a geocoded address on the job form) - not a filter bug. Scope recorded in STATUS.md section 3.",""
