"Req ID","Feature / Requirement","Source","Surface","Covering Test Cases (modules/IDs)","Priority","Coverage","Open Defects","Notes"
"R-TEAM-01","Team seats: cap = MAX, entitlements","MONETIZATION 6.1","Web/Mobile/API","WEB-EMP-TEAM-002/007, API-TEAM-012, MOB-TEAM-001","P1","Covered","",""
"R-TEAM-02","Invite / peek / accept / cold-start","MONETIZATION 6.3","Web/Mobile/API","WEB-EMP-TEAM-001..005, MOB-TEAM-002..007, API-TEAM-002..011","P1","Covered","","Trial-lot cold-path - verify fixed"
"R-TEAM-03","Roles (owner/member), soft-revoke, seat downgrade","MONETIZATION 6.2","Web/Mobile/API","WEB-EMP-TEAM-006..009, MOB-TEAM-008/009, E2E-011/012","P1","Covered","",""
"R-ADM-01","Admin auth + role guard (ADMIN/SUPER_ADMIN)","Admin STATUS","Admin/API","ADM-AUTH-001..010, API-CROSS-004/005","P1","Covered","",""
"R-ADM-02","Dashboard (real revenue, trend, pending)","Admin STATUS","Admin/API","ADM-DASH-001..005, API-ADMIN-002","P1","Covered","",""
"R-ADM-03","Employer/seeker mgmt (approve dual-flip, reject, payment, soft-delete)","Admin STATUS","Admin/API","ADM-EMP-001..010, ADM-JS-001..005, API-ADMIN-003..005","P1","Covered","",""
"R-ADM-04","Document verification + safe file links","Admin STATUS","Admin","ADM-DOC-001..004","P1","Covered","","safeDocHref security"
"R-ADM-05","Post moderation (no-viol/violation/warning/scan/delete)","Admin STATUS","Admin/API","ADM-MOD-001..014, API-ADMIN-006..008","P1","Covered","","Scan degrades w/o key"
"R-ADM-06","Skills CRUD (cascade delete)","Admin STATUS","Admin/API","ADM-SKILL-001..007, API-ADMIN-009/010","P1","Covered","",""
"R-ADM-07","Taxonomy CRUD + restore + unlink/delete + encoding","Admin STATUS","Admin/API","ADM-TAX-001..016, API-ADMIN-011..014","P1","Covered","",""
"R-ADM-08","Monetization views (paisa-exact, GST split, no writes)","Admin STATUS","Admin/API","ADM-MON-001..007, API-ADMIN-015","P1","Covered","","Invoice PDF disabled (BE gap)"
"R-ADM-09","Reports queue + resolve + concurrency","Admin STATUS","Admin/API","ADM-RPT-001..005, API-ADMIN-016","P1","Covered","",""
"R-ADM-10","Manage Admins (SUPER_ADMIN, guards)","Admin STATUS","Admin/API","ADM-SA-001..008, API-ADMIN-017/018","P1","Covered","",""
"R-ADM-11","Admin Add-User (OTP pre-verify, strict body)","Admin STATUS","Admin/API","ADM-ADD-001..008, API-ADMIN-019","P1","Covered","",""
"R-ADM-12","Audit log (global SUPER_ADMIN + per-entity)","Admin STATUS","Admin/API","ADM-AUD-001..006, API-ADMIN-020/021","P1","Covered","",""
"R-NOTIF-01","Outbound notifications (in-app + SMS/WhatsApp/push/email)","STATUS 6","API/Mobile","API-NOTIF-001..003, MOB-NOTIF-001, E2E-009","P1","Partial","","Channels no-op until configured"
"R-SEC-01","AuthZ / IDOR / role isolation across surfaces","Security","All","WEB-SEC-001..005, API-CROSS-001..005, SYS-ABUSE-006","P1","Covered","",""
"R-SEC-02","Payment integrity (HMAC, tamper, idempotency)","MONETIZATION 5","API/System","API-BILL-003..005, SYS-IDEM-001/002","P1","Covered","",""
"R-SEC-03","Data protection / no Aadhaar / secure token","PRODUCT.md 4","All","WEB-SEC-005, MOB-SEC-001..004, SYS-ABUSE-007","P1","Covered","","JWT-in-localStorage flagged"
"R-NFR-01","Concurrency & data integrity (org wallet, ledger)","System design","System","SYS-CONC-001..012, SYS-DATA-001..013","P1","Covered","","Needs dev-assisted setup"
"R-NFR-02","Resilience & failure recovery","System design","System","SYS-RESIL-001..011","P1","Covered","","Failure-injection track"
"R-NFR-03","Performance & scale","System design","System","SYS-PERF-001..008","P1","Covered","","See Performance plan"
"R-NFR-04","Abuse resistance / rate-limiting","System design","System","SYS-ABUSE-001..010","P1","Covered","","See Security plan"
"R-NFR-05","Time/cron/timezone correctness","System design","System","SYS-TIME-001..005","P1","Covered","",""
"R-DEV-01","Mobile device/runtime (never run on device)","Mobile STATUS","Mobile","MOB-DEV-001..013","P1","Covered","","Highest mobile risk"
"R-GAP-01","Known v1.1 gaps (chargeback, admin grant/revoke)","MONETIZATION 7","System","SYS-GAP-001..003","P1","Flagged","","Risks, not pass/fail"
