Issue Type,Summary,Description,Status,Priority,Story Points,Components,Labels,Epic Name,Epic Link,Assignee,Sprint
Epic,M11 Admin Verification,"**Goal**
Admin queues for Corporate-employer approval + seeker/employer document review + payment-status manual override.

**Scope**
- Corporate employer queue: Pending / Rejected / Approved tabs with search + filters
- Approve → verificationStatus=APPROVED + EMPLOYER_APPROVED notification (in-app + push + WhatsApp + email)
- Reject → verificationStatus=REJECTED with rejectionReason + EMPLOYER_REJECTED notification
- Seeker queue: similar shape; documentVerificationStatus cascades on document verify
- Document verify/reject endpoints update doc row + (if last pending) overall status
- Payment status manual override (writes User.paymentStatus, not PaymentHistory)
- Global tab badges (T2a #38)
- Admin actions logged with adminId, action, targetUserId, timestamp
- 48h doc review SLA target (research Topic 11) — copy commitment only
- All admin routes gated by authorize('ADMIN')

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m11-admin-verification
- RTM rows: M11-AC1 through M11-AC10",To Do,High,,M11,"module-M11",M11 Admin Verification,,,37
Epic,M12 Admin Content Moderation,"**Goal**
OpenAI omni-moderation + India scam regex + Send Warning + Delete + Seeker Job Reports queue.

**Scope**
- POST /api/admin/posts/:id/scan calls OpenAI omni-moderation-latest (free per Q8)
- India scam regex layer: registration fees, MLM language, free-mail HR, upfront-payment, urgency-without-formality
- Scan flips moderationStatus: high-confidence → VIOLATION_FOUND; borderline → PENDING_REVIEW
- Send Warning → JobWarning row + WhatsApp job_warning template + auto-flip moderationStatus
- Delete → hard delete on Job (cascades to applications; conversations preserved); SYSTEM action log only
- Job Reports queue (seeker-initiated) with admin resolve actions
- 36h takedown SLA target (research Topic 9) — copy commitment only
- All admin moderation actions logged
- **NOT IN SCOPE:** Auto-scan on every post creation (v2)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m12-admin-content-moderation
- RTM rows: M12-AC1 through M12-AC8",To Do,High,,M12,"module-M12",M12 Admin Content Moderation,,,37
Epic,M13 Soft Delete,"**Goal**
Admin sets isDeleted=true; auth middleware rejects deleted users; jobs disappear from feeds.

**Scope**
- PATCH /api/admin/jobseekers/:id/delete and /employers/:id/delete (NC-9)
- authenticate middleware rejects deleted users with ACCOUNT_DELETED sentinel
- Forgot-password / reset-password flows reject deleted users
- Default queues exclude deleted users; separate /deleted lists
- Public job browse, recommended, related endpoints filter soft-deleted-employer jobs
- Confirm/fix audit §1.8 #14 (/jobs/employer/:employerId leak) and #16 (admin dashboard counts)
- **NOT IN SCOPE:** Restore / undelete endpoint (v2 or never per audit §1.8 #15)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m13-soft-delete
- RTM rows: M13-AC1 through M13-AC10",To Do,Medium,,M13,"module-M13",M13 Soft Delete,,,37
Epic,M14 i18n (10 languages),"**Goal**
Translate UI into EN / HI / TA / KN / ML / MR / GU / OR / TE / BN.

**Scope**
- 10 JSON files under packages/i18n/locales/{lang}/common.json
- next-i18next on web; i18next on RN; shared keys via packages/i18n workspace
- EN + HI 100% complete + reviewed by code freeze (HARD GATE)
- Other 8 languages ≥80% by code freeze, missing keys render as ""[needs review] {keyPath}""
- preferredLanguage on User; header dropdown switcher
- Voice 🔊 tooltips translated (""Listen"" / ""Coming soon"")
- ICU pluralisation; Intl.NumberFormat / Intl.DateTimeFormat for locale defaults
- Indic-script ~30% width expansion accommodated in CTAs
- CI lint rule fails on EN/HI ""[needs review]"" markers

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m14-i18n-10-languages
- RTM rows: M14-AC1 through M14-AC10",To Do,High,,M14,"module-M14",M14 i18n,,,37
Epic,M15 Cross-Cutting,"**Goal**
FE port/path/auth reconciliation + security gaps + decision-tag convention + CI + staging + perf gate.

**Scope**
- FE base URL 8080 → 5000 (env-driven NEXT_PUBLIC_API_URL)
- FE path naming: /job-seeker/* → /api/jobseekers/*, etc.
- FE Bearer-token interceptor + AuthContext + protected route guards
- Audit §1.8 omnibus: OTP-in-response gate, crypto.randomInt, JWT_SECRET assert, forgot-password 200, admin-create gate, reject-accepted guard, BOOKMARKED enum, Aadhaar delete, audio support, channels, /api/skills auth, employer-jobs filter, dashboard counts
- OpenAPI auto-gen at docs/technical/openapi.yaml (S3)
- Decision tags: Q##/NC-##/T## (BE), Q-FE-NN (FE), Q-MOB-NN (mobile)
- Staging up by 2026-05-22 (Sprint 1 mid)
- CI on every PR: lint + typecheck + smoke / build
- Perf gate at code freeze: P95 search/feed <500ms, poll <200ms
- Security review checkpoint via /security-review

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m15-cross-cutting
- RTM rows: M15-AC1 through M15-AC11",To Do,Highest,,M15,"module-M15",M15 Cross-Cutting,,,36
Story,S1-01 Delete Aadhaar code paths,"**Status: DONE — verified by Asrar 2026-05-11, 9/9 tests pass.**

**What was delivered**
- Deleted AadhaarVerification Prisma model
- Deleted Verhoeff validator
- Deleted /api/aadhaar/* routes + controllers + services + validators
- Removed aadhaarNumber field from User table (schema migration)
- Removed Aadhaar field from jobseekerRegisterSchema + updateJobSeekerProfileSchema
- No Aadhaar artefact remains in BE

**Reference**
- RTM: M1-AC10, M15-AC4 #9
- Scope: Q4 revoked entirely 2026-05-09",Done,Highest,1,M1,"sprint-1,owner-asrar,role-be,risk-medium",,M1 Authentication & Identity,syed.asrar9@azkashine.com,36
Story,S1-02 Initiate MSG91 SMS DLT registration,"**Context**
MSG91 SMS DLT registration has a 2–3 week regulatory lead time (R11 critical-path). If we don't start on day 1 of S1, real SMS won't deliver at code freeze. Fallback if DLT slips past handover: mock-mode OTP through QA period; real SMS goes live in week 1 of UAT.

**Scope**
- Sign up / log into MSG91 account
- Submit DLT registration paperwork (PE-ID with TRAI)
- Register header (sender ID, e.g. AZKJOB)
- Submit ~6 OTP/transactional template texts for approval (OTP, application_accepted/rejected/shortlisted, interview_scheduled, payment_confirmation)
- Track approval status; flag if delays beyond 3 weeks

**Acceptance Criteria** (RTM: M9-AC8)
- [ ] MSG91 account active with billing set up
- [ ] DLT PE-ID submitted (screenshot of submission in ticket)
- [ ] At least 1 header approved by Mon Jun 1 (S2 mid)
- [ ] Submission tracked weekly in standups
- [ ] Fallback plan documented (mock-mode OTP if DLT not approved by code freeze)

**Dependencies**
- External: TRAI / DLT regulator approval workflow

**Definition of Done**
- Standard DoD applies — no code, just procurement evidence + tracker entry
- Update docs/_context/04-project-status.md dependency tracker weekly

**Risk:** H — R11 (DLT timeline). Cannot be compressed; can only be started early.",To Do,Highest,1,M9,"sprint-1,owner-nazir,role-procurement,risk-high",,M9 Notifications,nazir.hasan@azkashine.com,36
Story,S1-03 Initiate Razorpay merchant KYC + procure sandbox keys,"**Context**
Razorpay merchant KYC has a 1–2 week regulatory lead time (R3). Sandbox keys are procurable same-day and unblock BE webhook wiring (S1-17). Production keys gated by KYC approval — needed before S2 demo at the latest.

**Scope**
- Sign up / log into Razorpay merchant account
- Submit KYC documents (PAN, GST, bank details)
- Procure sandbox API key + secret immediately (no KYC needed)
- Procure sandbox webhook signing secret
- Track KYC progress weekly; escalate if delays beyond 2 weeks

**Acceptance Criteria** (RTM: M10-AC4)
- [ ] Sandbox API key + secret in shared secure vault (1Password / equivalent), accessible to Asrar
- [ ] Webhook signing secret stored same way
- [ ] KYC submitted (screenshot)
- [ ] Production keys procured before Sprint 2 demo (Fri Jun 12 latest)
- [ ] Status tracked in docs/_context/04-project-status.md

**Dependencies**
- External: Razorpay merchant KYC team

**Definition of Done**
- Standard DoD applies — procurement task, no code
- Keys handed to Asrar via secure channel (not Slack / not email plaintext)

**Risk:** M — R3. Sandbox unblocks BE immediately; production blocking emerges only at Sprint 2 demo.",To Do,Highest,1,M10,"sprint-1,owner-nazir,role-procurement,risk-medium",,M10 Subscription & Payments,nazir.hasan@azkashine.com,36
Story,S1-04 Register Google OAuth client,"**Context**
Google OAuth login is one of the 3 supported login methods (per Q3 revised). BE Google OAuth implementation (S1-13) needs the Client ID/Secret to land. Three client IDs required: web, mobile (iOS + Android), admin (or share web's).

**Scope**
- Create Google Cloud Console project (org: Azkashine)
- Configure OAuth consent screen (app name, support email, scopes: openid, email, profile)
- Create OAuth 2.0 Client IDs:
  - Web (origin: localhost:3000 + staging URL)
  - iOS (bundle ID per mobile workspace)
  - Android (package name + SHA-1 fingerprint per mobile workspace)
- Document Client IDs + Client Secrets in shared vault
- Hand to Asrar for BE wiring

**Acceptance Criteria** (RTM: M1-AC5, M1-AC15)
- [ ] Google Cloud project active
- [ ] OAuth consent screen filled in (internal app sufficient for dev; switch to ""external"" for prod)
- [ ] Web Client ID + Secret in vault
- [ ] Mobile Client IDs noted (specifics depend on new mobile dev's setup)
- [ ] Asrar confirms received

**Dependencies**
- None for web; mobile Client IDs blocked on mobile workspace setup (S1-05, currently TBD)

**Definition of Done**
- Standard DoD applies — procurement task
- Credentials in vault, not committed to git

**Risk:** L — straightforward procurement.",To Do,Highest,1,M1,"sprint-1,owner-nazir,role-procurement,risk-low",,M1 Authentication & Identity,nazir.hasan@azkashine.com,36
Story,S1-05 apps/mobile workspace skeleton,"**Context**
Mobile workspace doesn't exist yet. Every mobile story (S1-MOB-AUTH, S1-MOB-LOGIN, S1-MOB-SHELL + S2/S3 mobile work) is blocked until this skeleton lands.

**ASSIGNEE NOTE: Mobile dev TBD.** Dheeraj (original assignee) is no longer on the project. Hold ticket open until new mobile dev onboards; reassign immediately when they start.

**Scope**
- Expo init (managed workflow, latest SDK)
- TypeScript configuration
- RTK Query setup for API calls
- NativeBase as the component library shell
- Basic stack nav (initial routes: Login, Register, Home placeholder)
- iOS + Android dev simulator booted at least once

**Acceptance Criteria**
- [ ] apps/mobile/ exists with package.json
- [ ] Expo dev server boots
- [ ] Basic Login → Home stack nav renders
- [ ] README explains how to run iOS sim + Android emulator
- [ ] Mobile workspace builds in CI (S1-19 dependency)

**Dependencies**
- New mobile dev hire (blocking)
- Sets the dep tree for all other mobile stories

**Definition of Done**
- Standard DoD applies
- New dev completes onboarding to repo
- Workspace lints + typechecks clean

**Risk:** L (technical) / H (resourcing — no owner currently)",To Do,High,1,M15,"sprint-1,owner-mobile-tbd,role-mobile,risk-high",,M15 Cross-Cutting,,36
Story,S1-06 apps/admin workspace skeleton,"**Context**
Admin app must live in a separate apps/admin/ workspace per D4. Currently admin pages are co-located inside apps/web/src/app/admin/*. All admin S2 stories (M11 verification UI, M12 moderation UI) need this workspace to exist first.

**Scope**
- Create apps/admin/ as a Next.js workspace
- Tailwind + lucide setup (matches apps/web stack)
- Basic layout: sidebar nav, header with admin user dropdown
- Lift admin pages from apps/web/src/app/admin/* into apps/admin/src/app/* (preserve routes)
- Update pnpm workspace config + monorepo lint/typecheck/build flow
- Keep stub at apps/web/admin redirecting to apps/admin URL (or remove if same domain)

**Acceptance Criteria**
- [ ] apps/admin/ exists with Next.js + Tailwind + lucide
- [ ] All existing admin pages render at the new workspace URLs
- [ ] Admin login wired (currently hardcoded creds — replace with /api/admin/login call)
- [ ] CI builds apps/admin separately
- [ ] No admin code remains in apps/web (or only thin redirects)

**Dependencies**
- None (can land in parallel with auth rework)

**Definition of Done**
- Standard DoD applies
- Lift PR is small + reviewable (no functional changes — pure relocation)
- Admin login works end-to-end (no hardcoded creds in any branch)

**Risk:** L — straightforward workspace lift",To Do,High,1,M15,"sprint-1,owner-nazir,role-fe,risk-low",,M15 Cross-Cutting,nazir.hasan@azkashine.com,36
Story,S1-07 Replace Math.random() in OTP generation,"**Status: DONE — verified by Asrar 2026-05-12.**

**What was delivered**
- utils/crypto.ts: replaced Math.floor(100000 + Math.random() * 900000) with crypto.randomInt(100000, 1000000)
- All OTP-generating call sites use the new helper
- Tests added confirming output range + entropy

**Reference**
- RTM: M15-AC4 #2
- Audit §1.8 #2",Done,High,1,M1,"sprint-1,owner-asrar,role-be,risk-low",,M1 Authentication & Identity,syed.asrar9@azkashine.com,36
Story,S1-08 Assert JWT_SECRET env at boot (fail-fast),"**Status: DONE — verified by Asrar 2026-05-12.**

**What was delivered**
- utils/jwt.ts: removed 'your-secret-key' default fallback
- Boot-time assertion: throws if JWT_SECRET is missing OR shorter than 32 chars
- .env.example updated to document the requirement
- BE refuses to start without it

**Reference**
- RTM: M1-AC11, M15-AC4 #3
- Audit §1.8 #3",Done,Highest,1,M1,"sprint-1,owner-asrar,role-be,risk-low",,M1 Authentication & Identity,syed.asrar9@azkashine.com,36
Story,S1-09 Add BOOKMARKED to updateApplicationStatusSchema enum,"**Status: DONE — verified by Asrar 2026-05-12.**

**What was delivered**
- validators/application.validator.ts: added 'BOOKMARKED' to the Zod enum
- Generic PUT /api/applications/:id/status now accepts BOOKMARKED
- Cross-checked with idempotent /bookmark endpoint behavior

**Reference**
- RTM: M6-AC6, M15-AC4 #7
- Audit §1.8 #7",Done,High,1,M6,"sprint-1,owner-asrar,role-be,risk-low",,M6 Candidate Management,syed.asrar9@azkashine.com,36
Story,S1-10 Re-enable 'Cannot reject accepted' guard,"**Status: DONE — verified by Asrar 2026-05-12.**

**What was delivered**
- services/application.service.ts:1070-1073 — guard re-enabled (was previously commented out)
- Throws clear error when reject is called on application with status=ACCEPTED
- Test added confirming the guard fires

**Reference**
- RTM: M6-AC5, M15-AC4 #6
- Audit §1.8 #6",Done,High,1,M6,"sprint-1,owner-asrar,role-be,risk-low",,M6 Candidate Management,syed.asrar9@azkashine.com,36
Story,S1-11 Branch hygiene — merge or document asrar-dev,"**Status: DONE — verified by Asrar 2026-05-12.**

**What was delivered**
- prabhazkashine/asrar-dev rebased on top of main
- Fully merged via PR #4
- No stale branch debt
- Aadhaar deletion + audit fixes shipped as focused follow-up PR

**Reference**
- BE sync §8
- RTM: (operational, no AC)",Done,High,1,M15,"sprint-1,owner-asrar,role-be,risk-medium",,M15 Cross-Cutting,syed.asrar9@azkashine.com,36
Story,S1-12 BE — rework registration to phone-first for both roles,"**Context**
Per Q3 revised (2026-05-09), all registration is phone-first (no Aadhaar, no email-first). Two distinct flows:
- Seeker: Language → Phone → OTP → Profile (incl email) → Categories → Experience → Password
- Employer: Phone → OTP → Password → Email Verify → Company Details

Employer doc-upload is **split into two steps** per 2026-05-13 decision: email-verified employers can start posting (with limits) before docs are reviewed. Doc upload happens post-register as a separate flow.

This is the largest single rework in S1 and unblocks every other auth-dependent story (FE-AUTH, FE-REG, FE-LOGIN, MOB-AUTH, MOB-LOGIN).

**Scope**
- Rework POST /api/jobseekers/register: drop aadhaarNumber field, accept phone-first multipart payload
- Rework POST /api/employers/register/individual + /business: phone-first, Individual auto-approves on email-verify, Corporate queues PENDING
- Reuse existing OTP service for phone verification step
- Existing set-password / verify-email / login endpoints stay but flow shifts
- Gate OTP-in-response behind NODE_ENV !== 'production' (M1-AC3, audit §1.8 #1)
- Validator updates: 6-digit OTP (not 4), drop aadhaarNumber everywhere

**Acceptance Criteria** (RTM: M1-AC1, M1-AC2, M1-AC3, M1-AC4)
- [ ] Seeker registration flow completes <3 min for experienced user
- [ ] Employer registration: Individual auto-approves; Corporate queues PENDING
- [ ] Phone OTP = 6 digits, 10-min expiry, 5 attempts, 30s resend cooldown
- [ ] Email verification OTP = 6 digits, same rules
- [ ] OTP-in-response only when NODE_ENV !== 'production'
- [ ] No aadhaarNumber field anywhere in registration payload, validators, or User schema
- [ ] Existing tests pass + new tests cover happy path + edge cases
- [ ] API_DOCUMENTATION.md updated

**Dependencies**
- S1-01 (Aadhaar deletion, already Done)
- Unblocks: S1-FE-AUTH, S1-FE-REG, S1-FE-LOGIN, S1-MOB-AUTH, S1-MOB-LOGIN

**Definition of Done**
- Standard DoD applies
- Both seeker AND employer registration tested end-to-end on staging
- Peer review by Nazir on the API shape
- WhatsApp + SMS OTP delivery wired (mock-mode acceptable in S1; real delivery gated by R11 + R14)

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity
- Decision: Q3 revised 2026-05-09; employer doc-upload split 2026-05-13

**Risk:** H — full registration rework, schema + flow changes, blocks 5+ downstream stories",To Do,Highest,5,M1,"sprint-1,owner-asrar,role-be,risk-high",,M1 Authentication & Identity,syed.asrar9@azkashine.com,36
Story,S1-13 BE — Email+password + Google OAuth login,"**Context**
Per Q3 revised, the three supported login methods are phone+OTP, email+password, and Google OAuth. Email+password is partially built (some endpoints exist). Google OAuth is net-new.

Google OAuth library locked to **google-auth-library** (NOT Passport) per 2026-05-12 decision. Rationale: single verifyIdToken call works for our stateless JWT pattern; no Passport middleware overhead; smaller dep tree.

**Scope**
- Review / finish existing email+password login for both seeker AND employer
- New endpoint: POST /api/auth/google/login { idToken, role }
  - Verify idToken via google-auth-library
  - Match by Google sub (googleSub field on User)
  - On first Google login: create User with googleSub set; require linking phone later
  - On subsequent Google login: issue JWT
- Add googleSub field to User Prisma schema
- Reject password-login if googleSub set and password unset
- All 3 methods issue same JWT shape (HS256, 7-day expiry)

**Acceptance Criteria** (RTM: M1-AC5, M1-AC15)
- [ ] Email+password login works for seeker + employer end-to-end
- [ ] Google OAuth login works for seeker + employer end-to-end
- [ ] googleSub persisted; subsequent password-login attempts rejected unless password is set
- [ ] JWT identical across all 3 methods
- [ ] API_DOCUMENTATION.md updated

**Dependencies**
- S1-04 (Google OAuth client IDs)
- Coordinates with S1-FE-LOGIN, S1-MOB-LOGIN

**Definition of Done**
- Standard DoD applies
- All 3 login methods tested by both seeker + employer + admin (admin = email+password only)
- Smoke test on staging

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity
- Decision log: google-auth-library locked 2026-05-12

**Risk:** M — Google OAuth is net-new; ~2 dev-days",To Do,Highest,2,M1,"sprint-1,owner-asrar,role-be,risk-medium",,M1 Authentication & Identity,syed.asrar9@azkashine.com,36
Story,S1-14 BE — misc auth hardening,"**Context**
Audit §1.8 flagged four small auth bugs that don't fit cleanly into S1-12 / S1-13 but matter for staging: admin-create endpoint open, forgot-password leaks email existence, no password policy. Bundle into one PR.

**Scope**
- POST /api/admin/create: gate behind setup token (env var ADMIN_SETUP_TOKEN) OR env-allowlisted email
- POST /api/auth/forgot-password: return generic 200 regardless of whether the email exists (audit §1.8 #4)
- Add password policy validator: ≥8 chars, ≥1 uppercase, ≥1 lowercase, ≥1 digit (M1-AC14)
- Apply policy on register, reset-password, change-password endpoints

**Acceptance Criteria** (RTM: M1-AC12, M1-AC13, M1-AC14)
- [ ] /admin/create returns 401 / 403 without setup token
- [ ] /forgot-password returns 200 for both existing + non-existing emails
- [ ] Weak passwords rejected with clear error pointing to the policy
- [ ] Tests cover each policy rule

**Dependencies**
- None — quick wins

**Definition of Done**
- Standard DoD applies
- All 3 fixes in one PR for atomic review

**Reference**
- PRD: docs/managerial/04-prd-v1.md#m1-authentication--identity
- Audit §1.8 #4, #5

**Risk:** L — small focused changes",To Do,High,1,M1,"sprint-1,owner-asrar,role-be,risk-low",,M1 Authentication & Identity,syed.asrar9@azkashine.com,36
